Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	1101	Corn@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	C A Comdty	C	12:00	13:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	1.8	0			N	N	N	ZC	ECBOT		Y	Y	Y	Y	Y		Y		1.5		long sr 0.97
N	1102	Corn@DCE	[100010001000]	1	0.05%	08:59	16:00	8		ACA Comdty	DCC	12:00		12	Vwap	2	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
Y	1103	Maize@EOP	[101001010010]	1	0.16%	10:45	18:30	8	18:30	EPA Comdty	EMA	12:00	18:30	20	Vwap	10	10:50	12:50	10:50	12:50	1.8	0	0						EMA	MATIF		Y	Y	N	Y	N		N				
N	1201	Cotton@ZCE	[101010101010]	1	0.05%	21:00	15:00	8		VVA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	21:00	14:30	8	14:15	CTA Comdty	CT	12:00	14:15	20	Vwap	10	21:05	23:05	21:05	23:05	0	1.25	-1		1.9	N	N	Y	CT	NYBOT	21:00	Y	Y	Y	Y	Y		Y	1.7	1	1.9	
N	1301	Palm Oil@DCE	[100010001000]	1	0.05%	21:00	16:00	8		PALA Comdty	DCP	12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N	liq	N				
N	1302	White Sugar@ZCE	[101010101010]	1	0.05%	21:00	15:00	8		CBA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	03:30	13:00	8	12:55	SBA Comdty	SB	12:00	12:30	30	Vwap	20	03:35	05:35	03:35	05:35	1.2	1.35	-1		1.15	N	N	Y	SB	NYBOT		Y	Y	Y	Y	Y		Y	0.9		0.85	long almost always lose
N	1304	Egg@DCE	[111111001111]	1	0.05%	08:59	16:00	8		DCEA Comdty		12:00		12	Vwap	2	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
N	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:30	16:55	8	16:50	QCA Comdty	LCC	12:00	16:50	30	Vwap	20	09:35	11:35	09:35	11:35	0	0	0						C	ICEEUSOFT		Y	Y	Y	Y	Y		Y				Fix BST time
N	1306	Cocoa@NYB	[001010101001]	1	0.05%	04:45	13:30	8	11:50	CCA Comdty	CC	12:00	13:20	30	Vwap	20	04:50	06:50	04:50	06:50	0	0	0				N	N	CC	NYBOT		Y	Y	Y	Y	Y		Y				
N	1307	Coffee C@NYB	[001010101001]	1	0.05%	04:15	13:30	8	13:25	KCA Comdty	KC	12:00	13:25	30	Vwap	20	04:20	06:20	04:20	06:20	0	0	0						KC	NYBOT		Y	Y	Y	Y	Y		Y				
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	12:00	12:30	30	Vwap	20	09:05	11:05	09:05	11:05	0	1.8	0	1.8	1.2	Y	Y	Y	D	ICEEUSOFT		Y	Y	Y	Y	Y		Y		1.8		Fix BST time
Y	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	18:00	8	17:55	QWA Comdty	LSU	12:00	18:00	30	Vwap	20	08:50	10:50	08:50	10:50	0	0.8	1	1.75		N	Y	N	W	ICEEUSOFT		Y	Y	Y	Y	Y		Y	1.5	1.75	1.35	best long sr @1.75; 
N	1310	Milk@CME	[111111111111]	1	0.05%	17:05	16:00	8	13:10	DAA Comdty	DA	12:00	13:10	12	Vwap	2	17:05	19:05	17:05	19:05	0	0	0						DA	GLOBEX		Y	Y	N	N	N	liq	N				
N	1311	FCOJ@NYB	[101010101010]	1	0.05%	08:00	14:00	8	13:30	JOA Comdty	OJ	12:00	14:00	30	Vwap	20	08:05	10:05	08:05	10:05	0	0	0						OJ	NYBOT		Y	Y	Y	Y	Y		Y				
Y	1401	Live Cattle@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LCA Comdty	LC	12:00	12:30	40	Vwap	30	08:35	09:35	08:35	09:35	1.8	1.55	0	1.35	1.65	Y	Y	Y	LE	GLOBEX	08:30	Y	Y	Y	Y	Y		N	1.65	1.8	1.65	
Y	1402	Lean Hogs@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LHA Comdty	LH	12:00	13:00	40	Vwap	30	08:35	09:35	08:35	09:35	1.5	1.65	0	1.35	0.85	Y	Y	Y	HE	GLOBEX	08:30	Y	Y	Y	Y	Y		Y	1.2	1.35	1	long sr2.36; short sr 1.9
N	1403	Feeder Cattle@CME	[101010011110]	1	0.05%	08:30	13:05	8	13:00	FCA Comdty	FC	12:00	13:00	40	Vwap	30	08:35	09:35	08:35	09:35	0	0	0	1.5	1.35	Y	Y	Y	GF	GLOBEX	08:30	Y	Y	N	Y	N	liq	N	1.35	1.5	1.35	
N	1501	Rapeseed@ZCE	[101010111010]	1	0.05%	21:00	15:00	8		ZRRA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	1502	Rapeseed Oil@ZCE	[101010101010]	1	0.05%	21:00	15:00	8		ZROA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	1503	Canola@WCE	[101010100010]	1	0.05%	19:00	13:20	8	13:15	RSA Comdty	RS	12:00	13:15	12	Vwap	2	19:05	21:05	19:05	21:05	0	0	0									N	N	N	N	N		N				
N	1504	Euro Rapeseed@EOP	[010010010010]	1	0.07%	10:45	18:30	8	18:30	IJA Comdty	COM	12:00	18:30	30	Vwap	20	10:50	12:50	10:50	12:50	0	0	0	1.8	1.5	Y	Y	Y	ECO	MATIF		Y	Y	N	Y	N		N	1.95	1.5	1.95	
N	1505	Early Indica Rice@ZCE	[101010101010]	1	0.05%	09:00	15:00	8		IRIA Comdty		12:00		12	Vwap	2	09:05	11:05	09:05	11:05	0	0	0									N	N	N	N	N		N				
ToAdd	1506	Oats@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	O A Comdty	O	12:00	13:15	12	Vwap	2	19:05	21:05	19:05	21:05	0	1.1	0	0.8	1				ZO	ECBOT		Y	Y	N	N	N	liq	N		0.8	1	
ToAdd	1507	Rough Rice@CBT	[101010101010]	1	0.05%	19:00	13:20	8	13:15	RRA Comdty	RR	12:00	13:15	12	Vwap	2	19:05	21:05	19:05	21:05	0	0.95	0	1.25	1				ZR	ECBOT		Y	Y	N	N	N	liq	N	1.35	1.25	1	
N	1601	Soymeal@DCE	[100010001000]	1	0.05%	21:00	16:00	8		AEA Comdty	DSM	12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	1602	Soybean Oil@DCE	[100010001000]	1	0.05%	21:00	16:00	8		SHA Comdty	DBY	12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	1603	Soybean No. 1@DCE	[100010001000]	1	0.05%	21:00	16:00	8		AKA Comdty	DSA	12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	1604	Soybean@CBT	[100010100010]	1	0.05%	19:00	13:20	8	13:15	S A Comdty	S	12:00	13:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	-1		0.55	N	N	Y	ZS	ECBOT		Y	Y	Y	Y	Y		Y	1.3	1.6	1.45	"long sr 0.8, ls sr 1.98; "
N	1605	Soybean Meal@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	SMA Comdty	SM	12:00	13:15	30	Vwap	20	19:05	21:05	19:05	21:05	0	0	0	0.5	0.55	Y	Y	Y	ZM	ECBOT		Y	Y	Y	Y	Y		Y	1.4	1.45	0.55	long sr 0.89; ls sr 2.97; short sr 3.29@0.55
Y	1606	Soybean Oil@CBT	[101010101001]	1	0.05%	19:00	13:20	8	13:15	BOA Comdty	BO	12:00	12:00	30	Vwap	20	19:05	21:05	19:05	21:05	1.6	0	0	1.6	1.25	Y	Y	Y	ZL	ECBOT		Y	Y	Y	Y	Y		Y	1.6	1.6	1.25	ls sr 1.32; long sr 1.55; short sr 1.4
N	1701	Winter Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	W A Comdty	W	12:00	13:15	30	Vwap	20	19:05	21:05	19:05	21:05	0	0	0	1.8	1.85				ZW	ECBOT		Y	Y	Y	Y	Y		Y	1.85	1.8	1.85	short sr 2
Y	1703	Hard Red Wheat@CBT	[001010101001]	1	0.05%	19:00	13:20	8	13:15	KWA Comdty	KW	12:00	13:15	30	Vwap	20	19:05	21:05	19:05	21:05	1.45	0	0				N	N	KE	ECBOT		Y	Y	Y	Y	Y		Y	1.5	1.5	1.6	short sr 1.34
N	1704	Strong Gluten Wheat@ZCE	[101010101010]	1	0.05%	09:00	15:00	8		VNA Comdty		12:00		12	Vwap	2	09:05	11:05	09:05	11:05	0	0	0									N	N	N	N	N		N				
ToAdd	1705	Red Spring Wheat@MGE	[001010101001]	1	0.05%	19:00	13:45	8	13:15	MWA Comdty	1MWE	12:00	13:15	20	Vwap	10	19:05	22:05	19:05	22:05	1.3	0	1	1.3			Y	N				N	N	N	N	N		N		1.3		long sr 2.08
Y	1706	Milling Wheat@EOP	[001010001001]	1	0.14%	10:45	19:30	8	18:30	CAA Comdty	BL2	18:00	18:30	30	Twap	20	10:50	12:50	10:50	12:50	2.5	2.5	1	1.95		N	Y	N	EBM	MATIF		Y	Y	N	Y	N		N		1.95		before 2015/09 [101010000010]
N	2101	Coke@DCE	[100010001000]	1	0.05%	21:00	16:00	8		KEEA Comdty	DCJ	12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	2102	Coking Coal @DCE	[100010001000]	1	0.05%	21:00	16:00	8		CKCA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	2103	Thermal Coal@ZCE	[111111111111]	1	0.05%	21:00	15:00	8		TRCA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	2201	Brent Crude Oil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	19:30	COA Comdty	LCO	12:30	19:30	20	Vwap	10	01:05	03:05	01:05	03:05	0	1.35	-1		0.55				COIL	IPE	01:00	Y	Y	Y	Y	Y		Y	0.55	2	0.55	short sr 2.19
Y	2202	WTI Crude Oil@NYM	[111111111111]	1	0.05%	18:05	17:00	8	14:30	CLA Comdty	CL	12:00	12:30	20	Vwap	10	20:00	22:00	20:00	22:00	0.9	1.4	1	0.55	1.7	N	Y	N	CL	NYMEX	09:00	Y	Y	Y	Y	Y		Y	0.55	0.55	1.7	short sr 1.22
ToAdd	2203	WTI Crude Oil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	19:30	ENA Comdty	WTCL	12:00	19:30	12	Vwap	2	01:05	03:05	01:05	03:05	0.95	0	1	0.95			Y	N	WTI	IPE		Y	Y	N	N	N		N	0.9	0.95		long sr 2.54; ls sr 0.9
N	2301	Natral Gas@NYM	[111111111111]	1	0.05%	18:05	17:00	8	14:30	NGA Comdty	NG	12:00	14:30	20	Vwap	10	20:00	22:00	20:00	22:00	0	0	-1		0.65	N	N	Y	NG	NYMEX	09:00	Y	Y	Y	Y	Y		Y	0.65	0.75	0.65	
N	2302	Natral Gas@ICE	[111111111111]	1	0.05%	07:00	17:00	8	16:15	FNA Comdty		12:00	16:15	12	Vwap	2	07:05	09:05	07:05	09:05	0	0	0						NGF	IPE		Y	Y	N	N	N		N				
Y	2401	Gasoil@ICE	[111111111111]	1	0.05%	01:00	23:00	8	16:30	QSA Comdty	LGO	12:30	16:30	20	Vwap	10	01:05	03:05	01:05	03:05	1.8	0.75	0	0.9	1.35	Y	Y	Y	GOIL	IPE	01:00	Y	Y	Y	Y	Y		Y	1.65	1.85	1.35	
Y	2402	Heating Oil@NYM	[111111111111]	1	0.05%	18:05	17:00	8	14:30	HOA Comdty	HO	12:00	12:30	20	Vwap	10	20:00	22:00	20:00	22:00	0.9	0	0						HO	NYMEX	09:00	Y	Y	Y	Y	Y		Y				
Y	2403	Gasoline RBOB@NYM	[111111111111]	1	0.05%	18:05	17:00	8	14:30	XBA Comdty	RB	12:30	14:30	20	Vwap	10	20:00	22:00	20:00	22:00	1.95	0	1	1.7		N	Y	N	RB	NYMEX	09:00	Y	Y	Y	Y	Y		Y	1.75	1.75		
N	2404	Heating Oil@ICE	[111111111111]	1	0.05%	01:00	22:59	8	19:30	NVA Comdty	LHO	12:00	19:30	20	Vwap	10	01:05	03:05	01:05	03:05	0	0	0						HOIL	IPE		Y	Y	N	N	N		N				
N	2405	Gasoline RBOB@ICE	[111111111111]	1	0.05%	01:00	22:59	8	16:30	PGA Comdty	LRB	12:00	16:30	20	Vwap	10	01:05	03:05	01:05	03:05	0	0	0						RBOT	IPE		Y	Y	N	N	N		N				
N	2406	Bitumen@SHF	[111111111111]	1	0.05%	21:00	15:00	8		BITA Comdty		12:00		20	Vwap	10	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	TYA Comdty	ZN	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	1.55	0.9	0	1.35	0.85	Y	Y	Y	ZN	ECBOT		Y	Y	Y	Y	Y		Y	0.7	1.35	0.85	"long sr 1.37, logret 7.2"
Y	3102	Euro Bund@EUX	[001001001001]	1	0.01%	08:00	22:10	8	17:15	RXA Comdty	FGBL	12:00	17:15	20	Vwap	10	08:05	10:05	08:05	10:05	1.35	1.7	0	1.25	0.95	Y	Y	Y	GBL	DTB		Y	Y	Y	Y	Y		Y	1.25	1.25	1.6	"long sr 3.24, short sr 2.43"
Y	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	FVA Comdty	ZF	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	1.75	0.95	0	1	0.95	Y	Y	Y	ZF	ECBOT		Y	Y	Y	Y	Y		Y	0.8	0.8	0.95	
Y	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	08:00	22:05	8	17:15	OEA Comdty	FGBM	12:00	17:15	20	Vwap	10	08:05	10:05	08:05	10:05	1.55	1.6	0	1.5	1.2	Y	Y	Y	GBM	DTB		Y	Y	Y	Y	Y		N	1.15	1.5	1.15	
N	3105	Euro Schatz@EUX	[001001001001]	1	0.01%	08:00	22:00	8	17:15	DUA Comdty	FGBS	12:00	17:15	20	Vwap	10	08:05	10:05	08:05	10:05	0	0	0						GBS	DTB		Y	Y	N	N	N		N				
Y	3106	30-year US Treasury @CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	USA Comdty	ZB	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	1.25	1.85	0	1.95	0.55	Y	Y	Y	ZB	ECBOT		Y	Y	Y	Y	Y		Y	0.95	1.95	1.15	short sr 3.2
Y	3107	Long Gilt@LIF	[001001001001]	1	0.01%	08:00	18:00	8	16:15	G A Comdty	FLG	12:00	13:30	20	Vwap	10	08:05	10:05	08:05	10:05	1.7	1.65	1	1.5		N	Y	N	R	ICEEU		Y	Y	Y	Y	Y		N	1.5	1.5	1.75	short sr 1.2
N	3108	2-Year US Treasury@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	TUA Comdty	ZT	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	0	0						ZT	ECBOT		Y	Y	N	N	N		N				
N	3109	3-Year Australian @SFE	[001001001001]	1	0.01%	17:05	16:30	8	16:30	YMA Comdty	YTT	12:00	16:30	20	Vwap	10	10:30	12:30	10:30	12:30	0	0	0						YT	SNFE		Y	Y	N	N	N		N				
N	3110	10-Year Australian@SFE	[001001001001]	1	0.01%	17:05	16:30	8	16:30	XMA Comdty	YTC	12:00	16:30	20	Vwap	10	10:30	12:30	10:30	12:30	0	0	0						XT	SNFE		Y	Y	N	N	N		N				
N	3111	3-Year Korea@KFE	[001001001001]	1	0.01%	08:00	15:45	8		KEA Comdty	KTB	12:00		20	Twap	10	08:05	10:05	08:05	10:05	0	0	0						3KTB	KSE		Y	Y	N	N	N		N				
Y	3112	US Treasury Ultra Bond@CBT	[001001001001]	1	0.01%	17:05	16:00	8	14:00	WNA Comdty	AUL	12:00	14:00	20	Vwap	10	19:05	21:05	19:05	21:05	0	1.75	0	0.75	1.75	Y	Y	Y	UB	ECBOT		Y	Y	Y	Y	Y		Y	0.85	0.85	1.75	
Y	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:00	16:30	8	15:00	CNA Comdty	CGB 	12:00	15:00	20	Vwap	10	06:05	08:05	06:05	08:05	1.85	1.4	0	2	1.2	Y	Y	Y	CGB	CDE		Y	Y	Y	Y	N		Y	1.15	2	1.2	
N	3114	5-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:00	16:30	8	15:00	XQA Comdty	CGF	12:00	15:00	20	Vwap	10	06:05	08:05	06:05	08:05	0	0	0						CGF	CDE		Y	Y	N	N	N		N				
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	08:00	19:06	8	17:15	IKA Comdty	FBTP	12:30	17:15	20	Vwap	10	08:05	10:05	08:05	10:05	1.4	1.2	1	0.55	1.25	N	Y	N	BTP	DTB		Y	Y	N	Y	N		N	1.4	1.4	1.25	shrot sr 1.06
Y	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	08:00	20:00	8	17:15	OATA Comdty	FOAT	12:30	17:15	20	Vwap	10	08:05	10:05	08:05	10:05	1.65	0	1	1.3		N	Y	N	OAT	DTB		Y	Y	N	N	N		N	1.6	1.3		"short sr always less than 0.37, short period"
N	3117	10-year Japan Govt Bond@TSE	[001001001001]	1	0.01%	08:45	15:05	8	14:55	JBA Comdty	JGB	11:00	12:55	20	Vwap	10	08:50	10:50	08:50	10:50	0	0	-1		1.15	N	N	Y	JGB	TSEJ		Y	Y	N	N	N		Y			1.15	short sr 2.35
N	3118	10-Year Korea Treasury Bond@KFE	[001001001001]	1	0.01%	08:00	15:45	8		KAAA Comdty	10TB	12:00		12	Vwap	2	08:05	10:05	08:05	10:05	0	0	0						FLKTB	KSE		Y	Y	N	N	N		N				
Y	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	08:00	22:00	8	17:15	UBA Comdty	FGBX	12:30	17:15	20	Vwap	10	08:05	10:05	08:05	10:05	1.5	1.15	0	1.45	1.4	Y	Y	Y	GBX	DTB		Y	Y	Y	Y	Y	new	N	1.4	1.5	1.4	short sr 3.4
